MODIFIED_ZCTA,NEIGHBORHOOD_NAME,BOROUGH_GROUP,COVID_CASE_COUNT,COVID_CASE_RATE,POP_DENOMINATOR,COVID_DEATH_COUNT,COVID_DEATH_RATE,PERCENT_POSITIVE,TOTAL_COVID_TESTS,ZIP_CODE,COUNTY,CITY,POPULATION,PER_THOUSAND,PER_THOUSAND_SCALED
10001,Chelsea/NoMad/West Chelsea,Manhattan,478,2028.6,23563.03,28,118.83,4.79,9989,10001,NEW YORK,NEW YORK,21102,22.651881338261774,0.31984990473663755
10002,Chinatown/Lower East Side,Manhattan,1442,1878.69,76755.41,160,208.45,5.89,24496,10002,NEW YORK,NEW YORK,81410,17.712811693895098,0.20591467726750087
10003,East Village/Gramercy/Greenwich Village,Manhattan,661,1228.59,53801.62,35,65.05,2.75,24021,10003,NEW YORK,NEW YORK,56024,11.79851492217621,0.06948275860153572
10004,Financial District,Manhattan,56,1533.99,3650.61,1,27.39,4.24,1320,10004,NEW YORK,NEW YORK,3089,18.128844286176758,0.21551178187408385
10005,Financial District,Manhattan,120,1429.23,8396.11,2,23.82,3.78,3173,10005,NEW YORK,NEW YORK,7135,16.818500350385424,0.18528456396929707
10006,Financial District,Manhattan,50,1446.02,3457.77,0,0.0,4.02,1243,10006,NEW YORK,NEW YORK,3011,16.605778811026237,0.18037747038293364
10007,TriBeCa,Manhattan,89,1078.82,8249.73,3,36.36,2.82,3156,10007,NEW YORK,NEW YORK,6988,12.736119061247853,0.09111155684757258
10009,Alphabet City/East Village/Stuyvesant Town-Cooper Village,Manhattan,940,1600.05,58747.99,70,119.15,4.21,22315,10009,NEW YORK,NEW YORK,61347,15.322672665330009,0.1507785780604318
10010,Flatiron/Gramercy/Kips Bay,Manhattan,403,1244.91,32371.86,19,58.69,2.86,14106,10010,NEW YORK,NEW YORK,31834,12.659420745115284,0.08934226815065552
10011,Chelsea,Manhattan,718,1450.49,49500.52,43,86.87,3.54,20291,10011,NEW YORK,NEW YORK,50984,14.082849521418485,0.12217814476138425
