ZIP_CODE,COUNTY,CITY,POPULATION
10001,NEW YORK,NEW YORK,21102
10002,NEW YORK,NEW YORK,81410
10003,NEW YORK,NEW YORK,56024
10004,NEW YORK,NEW YORK,3089
10005,NEW YORK,NEW YORK,7135
10006,NEW YORK,NEW YORK,3011
10007,NEW YORK,NEW YORK,6988
10009,NEW YORK,NEW YORK,61347
10010,NEW YORK,NEW YORK,31834
10011,NEW YORK,NEW YORK,50984
10012,NEW YORK,NEW YORK,24090
10013,NEW YORK,NEW YORK,27700
10014,NEW YORK,NEW YORK,31959
10016,NEW YORK,NEW YORK,54183
10017,NEW YORK,NEW YORK,16575
10018,NEW YORK,NEW YORK,5229
10019,NEW YORK,NEW YORK,42870
10021,NEW YORK,NEW YORK,43631
10022,NEW YORK,NEW YORK,31924
10023,NEW YORK,NEW YORK,60998
10024,NEW YORK,NEW YORK,59283
10025,NEW YORK,NEW YORK,94600
10026,NEW YORK,NEW YORK,34003
10027,NEW YORK,NEW YORK,59707
10028,NEW YORK,NEW YORK,45141
10029,NEW YORK,NEW YORK,76003
10030,NEW YORK,NEW YORK,26999
10031,NEW YORK,NEW YORK,56438
10032,NEW YORK,NEW YORK,57331
10033,NEW YORK,NEW YORK,53926
10034,NEW YORK,NEW YORK,38908
10035,NEW YORK,NEW YORK,33969
10036,NEW YORK,NEW YORK,24711
10037,NEW YORK,NEW YORK,17416
10038,NEW YORK,NEW YORK,20300
10039,NEW YORK,NEW YORK,24527
10040,NEW YORK,NEW YORK,41905
10044,NEW YORK,NEW YORK,11661
10065,NEW YORK,NEW YORK,32270
10069,NEW YORK,NEW YORK,5199
10075,NEW YORK,NEW YORK,26121
10103,NEW YORK,NEW YORK,3
10119,NEW YORK,NEW YORK,92
10128,NEW YORK,NEW YORK,60453
10162,NEW YORK,NEW YORK,1685
10165,NEW YORK,NEW YORK,2
10170,NEW YORK,NEW YORK,2
10173,NEW YORK,NEW YORK,2
10199,NEW YORK,NEW YORK,9
10280,NEW YORK,NEW YORK,7853
10282,NEW YORK,NEW YORK,4783
10301,RICHMOND,STATEN ISLAND,39706
10302,RICHMOND,STATEN ISLAND,19088
10303,RICHMOND,STATEN ISLAND,26337
10304,RICHMOND,STATEN ISLAND,42193
10305,RICHMOND,STATEN ISLAND,41749
10306,RICHMOND,STATEN ISLAND,55909
10307,RICHMOND,STATEN ISLAND,14096
10308,RICHMOND,STATEN ISLAND,27357
10309,RICHMOND,STATEN ISLAND,32519
10310,RICHMOND,STATEN ISLAND,24962
10312,RICHMOND,STATEN ISLAND,59304
10314,RICHMOND,STATEN ISLAND,85510
10451,BRONX,BRONX,45713
10452,BRONX,BRONX,75371
10453,BRONX,BRONX,78309
10454,BRONX,BRONX,37337
10455,BRONX,BRONX,39665
10456,BRONX,BRONX,86547
10457,BRONX,BRONX,70496
10458,BRONX,BRONX,79492
10459,BRONX,BRONX,47308
10460,BRONX,BRONX,57311
10461,BRONX,BRONX,50502
10462,BRONX,BRONX,75784
10463,BRONX,BRONX,67970
10464,BRONX,BRONX,4534
10465,BRONX,BRONX,42230
10466,BRONX,BRONX,67813
10467,BRONX,BRONX,97060
10468,BRONX,BRONX,76103
10469,BRONX,BRONX,66631
10470,BRONX,BRONX,15293
10471,BRONX,BRONX,22922
10472,BRONX,BRONX,66358
10473,BRONX,BRONX,58519
10474,BRONX,BRONX,12281
10475,BRONX,BRONX,40931
11004,QUEENS,GLEN OAKS,14016
11005,QUEENS,FLORAL PARK,1806
11101,QUEENS,LONG ISLAND CITY,25484
11102,QUEENS,ASTORIA,34133
11103,QUEENS,ASTORIA,38780
11104,QUEENS,SUNNYSIDE,27232
11105,QUEENS,ASTORIA,36688
11106,QUEENS,ASTORIA,38875
11109,QUEENS,LONG ISLAND CITY,3523
11201,KINGS,BROOKLYN,51128
11203,KINGS,BROOKLYN,76174
11204,KINGS,BROOKLYN,78134
11205,KINGS,BROOKLYN,40366
11206,KINGS,BROOKLYN,81677
11207,KINGS,BROOKLYN,93386
11208,KINGS,BROOKLYN,94469
11209,KINGS,BROOKLYN,68853
11210,KINGS,BROOKLYN,62008
11211,KINGS,BROOKLYN,90117
11212,KINGS,BROOKLYN,84500
11213,KINGS,BROOKLYN,63767
11214,KINGS,BROOKLYN,88630
11215,KINGS,BROOKLYN,63488
11216,KINGS,BROOKLYN,54316
11217,KINGS,BROOKLYN,35881
11218,KINGS,BROOKLYN,75220
11219,KINGS,BROOKLYN,92221
11220,KINGS,BROOKLYN,99598
11221,KINGS,BROOKLYN,78895
11222,KINGS,BROOKLYN,36934
11223,KINGS,BROOKLYN,78731
11224,KINGS,BROOKLYN,47621
11225,KINGS,BROOKLYN,56829
11226,KINGS,BROOKLYN,101572
11228,KINGS,BROOKLYN,41788
11229,KINGS,BROOKLYN,80018
11230,KINGS,BROOKLYN,86408
11231,KINGS,BROOKLYN,33336
